,year,id,recclass,mass (g),fall,reclat,reclong,GeoLocation
62,1855,4907,H,146.0,Fell,25.0,-103.5,"25.0, -103.5"
5031,1855,4950,"Iron, IIE-an",12000.0,Found,-28.08,-69.33,"-28.08, -69.33"
944,1855,23083,L6,700.0,Fell,51.05,3.75,"51.05, 3.75"
720,1855,17989,L6,6000.0,Fell,58.5,23.0,"58.5, 23.0"
26342,1855,16915,"Iron, IIIAB",32200.0,Found,-34.25,147.7,"-34.25, 147.7"
31006,1855,18023,"Iron, IIIAB",148800.0,Found,-30.0,25.0,"-30.0, 25.0"
1010,1856,24046,H3/4,11800.0,Fell,45.47,10.0,"45.47, 10.0"
15965,1856,11473,Mesosiderite-A4,16500.0,Found,52.28,8.92,"52.28, 8.92"
11749,1856,10167,"Iron, IIIAB",15900.0,Found,44.35,-100.38,"44.35, -100.38"
747,1856,18058,H5,205.0,Fell,43.4,-5.87,"43.4, -5.87"
6859,1856,6659,"Iron, IIIAB",5400.0,Found,33.0,-97.0,"33.0, -97.0"
26361,1856,16942,"Iron, IIIF",73030.0,Found,37.75,-85.5,"37.75, -85.5"
823,1857,22358,H4,6045.0,Fell,17.77,95.18,"17.77, 95.18"
723,1857,17995,H5,16250.0,Fell,46.07,23.58,"46.07, 23.58"
26149,1857,16694,Mesosiderite-B4,89400.0,Found,36.55,-93.1,"36.55, -93.1"
21655,1857,14673,"Iron, IIAB",10000.0,Found,33.33,-84.1,"33.33, -84.1"
954,1857,23717,L6,1500.0,Fell,45.05,41.98,"45.05, 41.98"
538,1857,12769,L6,125.0,Fell,48.35,3.25,"48.35, 3.25"
764,1857,18108,LL3.6,77600.0,Fell,9.23,78.35,"9.23, 78.35"
373,1857,11875,H5,1000.0,Fell,10.0,-84.1,"10.0, -84.1"
19726,1857,12741,"Iron, ungrouped",2150.0,Found,34.5,-82.03,"34.5, -82.03"
431,1857,12218,CV3,3000.0,Fell,47.35,21.3,"47.35, 21.3"
637,1858,16715,H5,144000.0,Fell,38.12,-1.17,"38.12, -1.17"
1107,1858,30411,Howardite,246.0,Fell,51.83,26.83,"51.83, 26.83"
5005,1858,4897,"Iron, IIIAB",76000.0,Found,38.17,-79.08,"38.17, -79.08"
38385,1858,24336,"Iron, IAB-sLL",22700.0,Found,40.77,-81.95,"40.77, -81.95"
439,1858,12231,L6,577.0,Fell,45.13,21.67,"45.13, 21.67"
38072,1858,24045,"Iron, IIIAB",505000.0,Found,43.37,-88.13,"43.37, -88.13"
17266,1858,12175,"Iron, IIIAB",1300.0,Found,-24.0,-69.0,"-24.0, -69.0"
59,1858,4903,L5,50000.0,Fell,43.08,0.58,"43.08, 0.58"
38057,1859,24021,"Iron, IIG",43000.0,Found,32.23,-88.2,"32.23, -88.2"
105,1859,5032,H,13.9,Fell,42.53,-73.83,"42.53, -73.83"
106,1859,5034,L5,2000.0,Fell,43.22,-0.23,"43.22, -0.23"
758,1859,18093,L5,10500.0,Fell,15.08,120.7,"15.08, 120.7"
366,1859,11842,L6,680.0,Fell,38.25,-86.17,"38.25, -86.17"
688,1860,16953,L6,230000.0,Fell,40.0,-81.77,"40.0, -81.77"
38224,1860,24171,"Iron, IAB-sHL",2950.0,Found,-31.7,23.75,"-31.7, 23.75"
5481,1860,5379,"Iron, IIIAB",115000.0,Found,34.88,-84.78,"34.88, -84.78"
22909,1860,15433,"Iron, IIIAB",6800.0,Found,37.0,-88.25,"37.0, -88.25"
240,1860,7640,LL6,32000.0,Fell,32.23,76.47,"32.23, 76.47"
472,1860,12294,L6,450.0,Fell,26.95,77.88,"26.95, 77.88"
936,1860,23663,H5,54.0,Fell,47.37,1.73,"47.37, 1.73"
508,1860,12382,L6,5.0,Fell,29.68,78.38,"29.68, 78.38"
5536,1860,5438,"Iron, IIIE",16800.0,Found,36.43,-87.0,"36.43, -87.0"
25,1860,463,H5,908.0,Fell,44.88,8.75,"44.88, 8.75"
17421,1860,12399,"Iron, IVA",50800.0,Found,38.4,-85.37,"38.4, -85.37"
164,1861,5251,H4,945.0,Fell,41.25,1.67,"41.25, 1.67"
155,1861,5183,H6,29000.0,Fell,27.08,84.08,"27.08, 84.08"
339,1861,11206,CV3,3500.0,Fell,43.67,45.38,"43.67, 45.38"
21796,1861,14762,L6,100000.0,Found,-27.0,-70.0,"-27.0, -70.0"
38206,1861,24142,Mesosiderite-A1,3828000.0,Found,-25.75,-70.5,"-25.75, -70.5"
606,1861,15469,H5,22.0,Fell,29.02,77.8,"29.02, 77.8"
907,1862,23508,LL4,180.0,Fell,37.42,-6.0,"37.42, -6.0"
608,1862,15485,H4,10500.0,Fell,53.18,13.15,"53.18, 13.15"
17371,1862,12340,"Iron, IVB",1800.0,Found,40.48,-86.37,"40.48, -86.37"
38238,1863,24194,"Iron, IIIAB",2550000.0,Found,21.5,50.47,"21.5, 50.47"
5016,1863,4919,"Iron, ungrouped",22000000.0,Found,26.2,-107.83,"26.2, -107.83"
37709,1863,23085,"Iron, IC",3600.0,Found,37.75,-90.5,"37.75, -90.5"
581,1863,15402,LL6,1700.0,Fell,23.05,86.7,"23.05, 86.7"
5540,1863,5442,"Iron, IAB-MG",20000.0,Found,-27.3,-70.4,"-27.3, -70.4"
38243,1863,24199,H6,6000.0,Found,-41.32,175.13,"-41.32, 175.13"
1008,1863,24038,L6,14500.0,Fell,50.78,4.77,"50.78, 4.77"
816,1863,18899,H5,560.0,Fell,23.37,75.18,"23.37, 75.18"
153,1863,5178,L6,5000.0,Fell,46.45,25.78,"46.45, 25.78"
38058,1863,24022,H5,1500.0,Found,42.88,-73.6,"42.88, -73.6"
36424,1863,22788,"Iron, IIIAB",13200.0,Found,39.8,-105.5,"39.8, -105.5"
37672,1863,23652,"Iron, IIIAB",5000.0,Found,36.42,-80.0,"36.42, -80.0"
30959,1863,17976,"Iron, IVA",41000.0,Found,52.27,9.1,"52.27, 9.1"
918,1863,23584,L6,3200.0,Fell,24.33,90.17,"24.33, 90.17"
794,1863,18822,EL6,23250.0,Fell,58.67,25.73,"58.67, 25.73"
248,1864,7659,L6,1600.0,Fell,50.75,25.3,"50.75, 25.3"
686,1864,16945,L6,10250.0,Fell,56.5,21.5,"56.5, 21.5"
37799,1864,23798,"Iron, IIIAB",510000.0,Found,27.72,-0.25,"27.72, -0.25"
734,1864,18026,CI1,14000.0,Fell,43.88,1.38,"43.88, 1.38"
968,1865,23760,H6,7235.0,Fell,26.72,84.22,"26.72, 84.22"
334,1865,10948,H6,1600.0,Fell,24.23,89.05,"24.23, 89.05"
913,1865,23530,Martian (shergottite),5000.0,Fell,24.55,84.83,"24.55, 84.83"
57,1865,4899,L6,50000.0,Fell,36.17,3.67,"36.17, 3.67"
261,1865,7745,H5,2270.0,Fell,52.55,-8.03,"52.55, -8.03"
6845,1865,6643,Iron,76.0,Found,36.92,3.92,"36.92, 3.92"
1050,1865,24168,H6,1500.0,Fell,43.5,-91.17,"43.5, -91.17"
659,1865,16841,L5,4400.0,Fell,12.63,77.02,"12.63, 77.02"
17296,1866,12211,"Iron, IIIAB",104000.0,Found,-26.0,-69.25,"-26.0, -69.25"
5058,1866,4982,"Iron, IIIAB",227000.0,Found,39.6,-105.3,"39.6, -105.3"
1029,1866,24104,H5,3600.0,Fell,13.48,74.78,"13.48, 74.78"
